Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,14702.769531,14833.940430,14688.549805,14808.629883,14808.629883,4341620000
2022-11-08,14808.629883,14983.349609,14756.980469,14889.299805,14889.299805,4607640000
2022-11-09,14889.299805,14889.299805,14568.990234,14587.759766,14587.759766,4645010000
2022-11-10,14587.759766,15241.889648,14587.759766,15234.719727,15234.719727,5781260000
2022-11-11,15234.719727,15388.059570,15234.719727,15352.690430,15352.690430,5593310000
2022-11-14,15320.429688,15415.990234,15228.980469,15228.980469,15228.980469,4561930000
2022-11-15,15445.099609,15485.490234,15260.870117,15381.000000,15381.000000,5015310000
2022-11-16,15381.000000,15381.000000,15249.040039,15265.250000,15265.250000,4165320000
2022-11-17,15090.080078,15228.549805,15071.200195,15223.959961,15223.959961,4051780000
2022-11-18,15314.440430,15337.580078,15210.940430,15309.769531,15309.769531,4037360000
2022-11-21,15309.769531,15309.769531,15180.190430,15278.259766,15278.259766,3850690000
2022-11-22,15278.259766,15486.459961,15278.259766,15481.759766,15481.759766,3887990000
2022-11-23,15481.759766,15565.400391,15455.849609,15545.519531,15545.519531,3279720000
2022-11-25,15545.519531,15625.719727,15545.519531,15605.669922,15605.669922,1706460000
2022-11-28,15605.669922,15605.669922,15350.089844,15370.440430,15370.440430,3615430000
2022-11-29,15370.440430,15479.969727,15370.440430,15433.459961,15433.459961,3546040000
2022-11-30,15433.459961,15780.019531,15361.790039,15780.019531,15780.019531,6579360000
2022-12-01,15780.019531,15854.139648,15691.299805,15761.120117,15761.120117,4527130000
2022-12-02,15761.099609,15767.927734,15617.850586,15716.018555,15716.018555,0
